#             x      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z             nut               k         epsilon
   0.0092651749      0.15831732     0.097811083               0    -0.065652284     -0.15828079               0               0               0               0       5.4051166    0.0083059273               0   2.3197501e-06     0.013847765      0.92399377
   0.0094217836       0.1585768     0.097576248               0    -0.065965642     -0.15852727               0               0               0               0       5.4051414     0.008321225               0   2.3190668e-06     0.013821044      0.92057377
   0.0095800257      0.15881471     0.097330297               0    -0.066281339     -0.15877473               0               0               0               0       5.4051665    0.0083366442               0   2.3183778e-06     0.013794145      0.91713709
   0.0097399181      0.15901883     0.097073524               0    -0.066600245     -0.15902317               0               0               0               0       5.4051919     0.008352184               0   2.3176831e-06     0.013767068      0.91368384
    0.009901478      0.15921304      0.09680634               0    -0.066922754     -0.15927259               0               0               0               0       5.4052176    0.0083678435               0   2.3169827e-06     0.013739812      0.91021409
    0.010064723      0.15946193     0.096529121               0      -0.0672476     -0.15952297               0               0               0               0       5.4052436    0.0083836219               0   2.3162765e-06     0.013712377      0.90672792
     0.01022967      0.15977977     0.096242165               0    -0.067578504      -0.1597743               0               0               0               0         5.40527    0.0083995184               0   2.3155645e-06     0.013684762      0.90322544
    0.010396337      0.16003789     0.095945753               0    -0.067912859     -0.16002658               0               0               0               0       5.4052966    0.0084155319               0   2.3148467e-06     0.013656968      0.89970674
    0.010564743      0.16028275     0.095640213               0    -0.068252051     -0.16027978               0               0               0               0       5.4053236    0.0084316618               0    2.314123e-06     0.013628994      0.89617191
    0.010734905      0.16059036     0.095325775               0    -0.068595432      -0.1605339               0               0               0               0       5.4053509    0.0084479072               0   2.3133934e-06      0.01360084      0.89262106
    0.010906842       0.1607789     0.095002505               0    -0.068939108     -0.16078891               0               0               0               0       5.4053785    0.0084642672               0   2.3126578e-06     0.013572505      0.88905429
    0.011080571      0.16098227     0.094670729               0    -0.069286832     -0.16104481               0               0               0               0       5.4054064    0.0084807409               0   2.3119163e-06      0.01354399      0.88547172
    0.011256113      0.16133205     0.094330762               0    -0.069642274     -0.16130157               0               0               0               0       5.4054347    0.0084973274               0   2.3111687e-06     0.013515295      0.88187344
    0.011433485      0.16158578     0.093982637               0    -0.070000297     -0.16155918               0               0               0               0       5.4054634    0.0085140259               0   2.3104151e-06     0.013486418      0.87825959
    0.011612707      0.16181443     0.093626455               0    -0.070360502     -0.16181761               0               0               0               0       5.4054923    0.0085308355               0   2.3096555e-06     0.013457361      0.87463027
    0.011793798      0.16211516     0.093262373               0    -0.070726348     -0.16207684               0               0               0               0       5.4055217    0.0085477551               0   2.3088897e-06     0.013428123      0.87098561
    0.011976778        0.162359     0.092890531               0    -0.071094896     -0.16233687               0               0               0               0       5.4055514    0.0085647838               0   2.3081177e-06     0.013398703      0.86732573
    0.012161666      0.16257948     0.092511092               0    -0.071468131     -0.16259763               0               0               0               0       5.4055814    0.0085819208               0   2.3073396e-06     0.013369103      0.86365075
    0.012348482      0.16281192     0.092124122               0    -0.071845542     -0.16285914               0               0               0               0       5.4056118    0.0085991648               0   2.3065553e-06     0.013339321      0.85996082
    0.012537247      0.16305468     0.091729714               0    -0.072227128     -0.16312136               0               0               0               0       5.4056425     0.008616515               0   2.3057647e-06     0.013309358      0.85625606
     0.01272798      0.16336286     0.091328099               0    -0.072616526     -0.16338426               0               0               0               0       5.4056737    0.0086339701               0   2.3049678e-06     0.013279213      0.85253661
    0.012920702      0.16365818     0.090919311               0     -0.07300779     -0.16364781               0               0               0               0       5.4057052    0.0086515293               0   2.3041647e-06     0.013248887      0.84880262
    0.013115435      0.16388485     0.090503427               0    -0.073399857     -0.16391198               0               0               0               0       5.4057371    0.0086691913               0   2.3033552e-06      0.01321838      0.84505423
    0.013312198       0.1641862     0.090080812               0    -0.073798689     -0.16417674               0               0               0               0       5.4057693    0.0086869549               0   2.3025392e-06     0.013187691      0.84129158
    0.013511013      0.16451862     0.089651542               0    -0.074203266     -0.16444206               0               0               0               0        5.405802    0.0087048192               0   2.3017169e-06     0.013156822      0.83751483
    0.013711901      0.16473102     0.089215658               0    -0.074610777      -0.1647079               0               0               0               0       5.4058351    0.0087227829               0   2.3008881e-06     0.013125771      0.83372413
    0.013914885      0.16492012     0.088773417               0    -0.075022893     -0.16497424               0               0               0               0       5.4058685    0.0087408448               0   2.3000529e-06     0.013094539      0.82991964
    0.014119985      0.16519083     0.088325023               0    -0.075440554     -0.16524102               0               0               0               0       5.4059024    0.0087590037               0   2.2992111e-06     0.013063126      0.82610153
    0.014327225       0.1655196     0.087870717               0    -0.075862753     -0.16550823               0               0               0               0       5.4059366    0.0087772585               0   2.2983628e-06     0.013031532      0.82226995
    0.014536626      0.16579244      0.08741061               0    -0.076289471      -0.1657758               0               0               0               0       5.4059713     0.008795608               0   2.2975079e-06     0.012999758      0.81842508
     0.01474821      0.16604076     0.086944899               0    -0.076720458      -0.1660437               0               0               0               0       5.4060064    0.0088140508               0   2.2966464e-06     0.012967803      0.81456708
    0.014962002       0.1663566     0.086473978               0     -0.07715694     -0.16631189               0               0               0               0        5.406042    0.0088325859               0   2.2957782e-06     0.012935669      0.81069613
    0.015178023      0.16663759     0.085997867               0    -0.077597556     -0.16658032               0               0               0               0       5.4060779     0.008851212               0   2.2949034e-06     0.012903354      0.80681241
    0.015396296      0.16687451     0.085516687               0    -0.078042107     -0.16684893               0               0               0               0       5.4061143    0.0088699279               0   2.2940218e-06     0.012870859       0.8029161
    0.015616846      0.16708096     0.085031137               0     -0.07849083     -0.16711768               0               0               0               0       5.4061511    0.0088887324               0   2.2931336e-06     0.012838185      0.79900738
    0.015839697      0.16731131     0.084541238               0    -0.078943854     -0.16738654               0               0               0               0       5.4061884    0.0089076243               0   2.2922385e-06     0.012805332      0.79508644
    0.016064871      0.16765714     0.084046774               0    -0.079404519     -0.16765543               0               0               0               0       5.4062261    0.0089266024               0   2.2913366e-06       0.0127723      0.79115349
