#        face_x          face_y          face_z      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z             nut               k         epsilon
    0.017226461               0            0.05      -2.4525801  -6.2519927e-05               0       8334.5249      0.43453645               0               0               0               0               0               0               0               0   9.5519105e-08     0.027705057
    0.017466098               0            0.05      -2.4021633  -6.0395182e-05               0       8277.3389      0.42563042               0               0               0               0               0               0               0               0   9.2779257e-08     0.026910371
    0.017708234               0            0.05      -2.3529533  -5.8356521e-05               0       8220.7423      0.41694117               0               0               0               0               0               0               0               0   9.0120958e-08     0.026139339
    0.017952896               0            0.05      -2.3049099  -5.6406518e-05               0        8164.725      0.40845284               0               0               0               0               0               0               0               0   8.7541579e-08     0.025391197
    0.018200108               0            0.05       -2.257998  -5.4525181e-05               0       8109.2773      0.40016527               0               0               0               0               0               0               0               0   8.5038589e-08     0.024665211
    0.018449899               0            0.05      -2.2121853  -5.2714616e-05               0       8054.3896      0.39206823               0               0               0               0               0               0               0               0    8.260955e-08     0.023960675
    0.018702296               0            0.05      -2.1674424  -5.0957515e-05               0       8000.0531      0.38416025               0               0               0               0               0               0               0               0   8.0252115e-08     0.023276908
    0.018957324               0            0.05      -2.1237405  -4.9259745e-05               0       7946.2587      0.37643614               0               0               0               0               0               0               0               0   7.7964023e-08     0.022613253
    0.019215012               0            0.05      -2.0810573  -4.7626785e-05               0       7892.9971      0.36889209               0               0               0               0               0               0               0               0   7.5743092e-08     0.021969078
    0.019475387               0            0.05      -2.0393651  -4.6044756e-05               0       7840.2601      0.36152092               0               0               0               0               0               0               0               0   7.3587216e-08     0.021343772
    0.019738478               0            0.05      -1.9986353  -4.4529816e-05               0       7788.0388      0.35432254               0               0               0               0               0               0               0               0    7.149436e-08     0.020736745
    0.020004313               0            0.05      -1.9588359  -4.3079422e-05               0       7736.3253      0.34728459               0               0               0               0               0               0               0               0    6.946256e-08     0.020147427
     0.02027292               0            0.05      -1.9199451  -4.1660882e-05               0       7685.1113      0.34040683               0               0               0               0               0               0               0               0   6.7489915e-08     0.019575266
    0.020544328               0            0.05      -1.8819435  -4.0305921e-05               0       7634.3892      0.33368735               0               0               0               0               0               0               0               0   6.5574586e-08      0.01901973
    0.020818567               0            0.05      -1.8447977   -3.900113e-05               0       7584.1509      0.32711524               0               0               0               0               0               0               0               0   6.3714797e-08     0.018480304
    0.021095666               0            0.05      -1.8084838  -3.7739699e-05               0       7534.3892      0.32069229               0               0               0               0               0               0               0               0   6.1908836e-08      0.01795649
    0.021375655               0            0.05      -1.7729841   -3.651252e-05               0       7485.0967      0.31440994               0               0               0               0               0               0               0               0   6.0155048e-08     0.017447808
    0.021658563               0            0.05      -1.7382778  -3.5334369e-05               0       7436.2667      0.30827229               0               0               0               0               0               0               0               0   5.8451837e-08     0.016953797
    0.021944423               0            0.05      -1.7043462  -3.4191862e-05               0       7387.8918      0.30226595               0               0               0               0               0               0               0               0    5.679766e-08     0.016474007
    0.022233263               0            0.05      -1.6711726  -3.3090927e-05               0        7339.965      0.29639875               0               0               0               0               0               0               0               0   5.5191027e-08     0.016008007
    0.022525116               0            0.05      -1.6387341  -3.2027223e-05               0       7292.4797      0.29065545               0               0               0               0               0               0               0               0   5.3630499e-08      0.01555538
    0.022820012               0            0.05      -1.6070082  -3.1005487e-05               0       7245.4294      0.28504454               0               0               0               0               0               0               0               0   5.2114684e-08     0.015115723
    0.023117984               0            0.05      -1.5759779  -3.0021876e-05               0       7198.8074      0.27954939               0               0               0               0               0               0               0               0   5.0642237e-08     0.014688643
