#             x      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z              kl              kt             nut           omega
   0.0013631906      0.14109735      0.11249694   1.2999123e-18    -0.051307697      -0.1412693  -5.0711259e-20  -2.3045003e-18  -1.6602648e-18  -3.4017044e-35       5.4038567    0.0075373419  -8.2838552e-23     0.097512972     0.040858817   0.00015920655       20.352793
   0.0014373898      0.14124339      0.11235444   7.2939758e-19    -0.051450545     -0.14141552  -9.0020638e-21   3.2166981e-19   3.5000391e-19  -1.5837552e-34       5.4038671    0.0075456823    1.139367e-23     0.097509703     0.040850672   0.00015919012       20.348377
   0.0015123628      0.14139068       0.1122103   -1.573936e-19    -0.051595018     -0.14156299   1.4010916e-20   7.0651131e-19   5.0715941e-19   1.2323485e-35       5.4038777    0.0075540991   2.6507695e-23       0.0975064     0.040842446   0.00015917351       20.343916
   0.0015881177      0.14153923      0.11206453  -9.2862979e-19    -0.051741135     -0.14171171   9.2804149e-21  -3.4559337e-19  -3.3837945e-19  -5.8150458e-36       5.4038884    0.0075625926   -1.267373e-23     0.097503063     0.040834139   0.00015915675       20.339411
   0.0016646626      0.14168903      0.11191709  -8.4176224e-19    -0.051888914      -0.1418617   4.7272623e-21   -3.077626e-18  -2.4392916e-18  -4.9170153e-36       5.4038993    0.0075711635  -1.1664076e-22     0.097499692     0.040825749   0.00015913982       20.334862
   0.0017420058       0.1418401      0.11176796   1.0237255e-18    -0.052038376     -0.14201296    6.570965e-21  -3.7079683e-18  -2.9558015e-18   3.9127211e-36       5.4039102    0.0075798123  -1.4107068e-22     0.097496288     0.040817276   0.00015912271       20.330267
   0.0018201557      0.14199244      0.11161713   2.7903597e-18    -0.052189541     -0.14216549  -1.5554143e-21   1.1503645e-18   8.4764739e-19   4.6230178e-35       5.4039213    0.0075885395   4.6640631e-23     0.097492848     0.040808719   0.00015910544       20.325626
   0.0018991205      0.14214607      0.11146458   1.3178475e-18    -0.052342429      -0.1423193  -1.2603974e-20   7.5397534e-18   5.9202299e-18  -2.3417993e-35       5.4039325    0.0075973458   2.9889246e-22     0.097489374     0.040800077     0.000159088       20.320939
   0.0019789089      0.14230098      0.11131029   -2.242578e-18    -0.052497061      -0.1424744   1.3935315e-22   6.3019756e-18   4.9537969e-18  -3.6986743e-35       5.4039439    0.0076062318   2.5018911e-22     0.097485864     0.040791349   0.00015907038       20.316206
   0.0020595294      0.14245718      0.11115424  -2.3289731e-18    -0.052653455     -0.14263079   6.5116669e-21  -1.5841762e-18  -1.2766999e-18  -1.3771237e-35       5.4039554    0.0076151979  -6.6365332e-23     0.097482319     0.040782535   0.00015905258       20.311426
   0.0021409906      0.14261468       0.1109964   2.3552915e-19    -0.052811635     -0.14278849  -5.4093471e-21  -3.0016409e-18  -2.3324501e-18  -1.0401473e-35        5.403967    0.0076242447  -1.2287248e-22     0.097478738     0.040773634   0.00015903461       20.306598
   0.0022233015      0.14277349      0.11083676   7.6062958e-19    -0.052971621     -0.14294749   1.8839927e-23  -5.8942613e-19  -3.8346385e-19   5.0414517e-35       5.4039787    0.0076333728  -2.4962701e-23      0.09747512     0.040764645   0.00015901647       20.301723
   0.0023064707      0.14293362       0.1106753   1.6516232e-20    -0.053133433     -0.14310781   1.0414138e-20   3.9939061e-20   4.6434616e-20   3.2200608e-35       5.4039906    0.0076425827   1.8013965e-24     0.097471466     0.040755567   0.00015899814       20.296799
   0.0023905073      0.14309505      0.11051199  -8.5270059e-19    -0.053297095     -0.14326944   1.4613836e-20  -5.2308671e-19  -4.4629267e-19   2.1591642e-35       5.4040026     0.007651875   -2.245351e-23     0.097467775     0.040746399   0.00015897963       20.291827
   0.0024754204      0.14325781      0.11034681  -2.4907554e-19    -0.053462627      -0.1434324   9.8533583e-21  -3.2721835e-18  -2.5566628e-18  -6.6201726e-36       5.4040148    0.0076612504  -1.4398957e-22     0.097464046     0.040737141   0.00015896093       20.286805
   0.0025612189      0.14342191      0.11017975    1.800626e-18    -0.053630052     -0.14359669   -9.121018e-21  -1.4283674e-18  -1.1010303e-18  -2.4662553e-35       5.4040271    0.0076707092  -6.2030521e-23     0.097460279     0.040727791   0.00015894205       20.281734
   0.0026479123      0.14358734      0.11001077   1.5023728e-18    -0.053799392     -0.14376231  -2.8689616e-21   3.7372236e-18   2.8643589e-18    2.589679e-35       5.4040395    0.0076802521   1.6968621e-22     0.097456474      0.04071835   0.00015892298       20.276612
   0.0027355098      0.14375411      0.10983986  -7.7325821e-19    -0.053970669     -0.14392928   1.3183189e-20   4.3034263e-18   3.2597103e-18  -9.7106945e-37       5.4040521    0.0076898797   1.9669848e-22     0.097452631     0.040708815   0.00015890373        20.27144
   0.0028240209      0.14392223        0.109667  -2.3351775e-18    -0.054143907     -0.14409759   4.4422026e-21     6.67468e-19   5.0031321e-19   2.9651833e-36       5.4040648    0.0076995924   2.9637239e-23     0.097448749     0.040699186   0.00015888428       20.266217
    0.002913455      0.14409171      0.10949216  -1.0547525e-18    -0.054319129     -0.14426726   4.2892858e-22  -4.6514107e-18   -3.496655e-18  -2.1361979e-35       5.4040777    0.0077093909  -2.2094574e-22     0.097444827     0.040689462   0.00015886464       20.260943
