#             y      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z              kl              kt             nut           omega
    0.014360904     -0.55072052    -0.006544635   1.1451929e-20        26.10335      0.55430752   7.4933755e-20  -1.4975025e-16  -3.1861763e-18  -4.4936545e-37       5.4471575      0.01237753  -8.5078665e-23     0.077657983     0.043389679   0.00020326602       9.5910393
    0.015265551      -0.3354787   -0.0022632941   6.0515152e-21       16.599231      0.33551638   8.5307018e-20   8.5112598e-18   2.1560812e-19  -5.4025199e-37       5.4656018     0.012766658    2.070879e-23     0.077945243      0.03431275   0.00018475884       8.3849006
    0.016225903     -0.15920768     0.001663407  -3.0516191e-21       9.4964941      0.14942966   8.9941354e-20   1.7780589e-17   4.0966907e-19  -7.6440529e-38       5.4772498     0.012987896   6.7285482e-23     0.078144294     0.027018036   0.00016602779       7.4309193
    0.017245391    -0.034914617    0.0051952167  -3.7708192e-21       4.7915964     0.027504006  -1.6210058e-21   9.9184611e-18  -1.9192375e-20   5.7437444e-37       5.4837606     0.013068805   2.0985685e-22      0.07827487     0.021714652   0.00014874074       6.7470022
    0.018327656     0.038930827    0.0077436108   1.3531131e-20       2.0714189    -0.037592108  -2.4132187e-19   1.1914402e-17   2.6141665e-19   4.8322149e-37       5.4869053     0.013052623    2.272769e-23     0.078356545     0.018346645   0.00013528763       6.3146573
    0.019476565     0.075091958    0.0088980589   1.1877323e-20      0.71022631    -0.074461545  -6.4033294e-20  -2.8323692e-18    5.286023e-19   8.9358096e-39       5.4881525     0.012978384  -3.4517434e-22      0.07840631     0.016526929   0.00012668057       6.0754058
     0.02069622     0.089383452    0.0094431634  -1.9776658e-20      0.11503173    -0.089413214   2.7582208e-19  -2.2121241e-18   1.2010982e-19   2.9008399e-37       5.4884773     0.012873097  -5.1039867e-23      0.07843668     0.015694511   0.00012153177       5.9556121
    0.021990978     0.094175045    0.0097613924   -2.005115e-20     -0.12942444    -0.094174492   1.2205226e-19  -8.5627871e-19  -5.0940346e-19   3.5080391e-37       5.4883928      0.01275238   3.5323405e-22     0.078455559     0.015366901   0.00011832237       5.8971041
    0.023365464     0.095654216    0.0099752502   3.7200532e-21     -0.23758029    -0.095620626  -1.5082616e-19  -6.2460984e-19   -3.340895e-19   1.6607667e-38       5.4881091     0.012621177   2.1012824e-22     0.078467498     0.015254396   0.00011668634       5.8668498
    0.024824587     0.096031466      0.01016238   1.0045009e-20     -0.29238529    -0.095971461  -1.5267781e-19     3.72969e-19   1.0969185e-19   7.2199615e-38       5.4877073     0.012481123  -8.5339892e-23     0.078475092      0.01522159   0.00011613151        5.849654
    0.026373559     0.096021945     0.010351833   9.3162702e-21     -0.32351883     -0.09599408  -2.9577218e-20   1.1450505e-18   3.3413401e-19   7.8821558e-38       5.4872219     0.012332233  -2.2891607e-22     0.078479888     0.015214866   0.00011600098       5.8390532
    0.028017912     0.095844829     0.010538641    5.757035e-21     -0.34288856    -0.095828335   9.7094139e-20   8.1820678e-19    2.353803e-19  -4.0094269e-38       5.4866688     0.012174359  -1.5512905e-22     0.078482844     0.015215622        0.000116       5.8321436
     0.02976352     0.095573844     0.010724137  -2.2131929e-21     -0.35565834    -0.095564542   1.1945149e-19  -3.7824313e-19  -9.6308273e-20  -5.4455052e-38       5.4860554     0.012007165   1.2267014e-22     0.078484569     0.015217761   0.00011602853       5.8274339
    0.031616619     0.095241066     0.010907867  -6.9161817e-21     -0.36430562    -0.095236003  -3.9907769e-21  -9.5339765e-19  -2.5070506e-19    9.099182e-38       5.4853855     0.011830239   2.5578595e-22     0.078485443     0.015219521   0.00011605826       5.8240644
    0.033583826     0.094861645     0.011088627  -9.1258768e-21      -0.3700148    -0.094859188  -8.6514398e-20  -6.4785128e-20  -2.3222627e-20   4.0379676e-38       5.4846608      0.01164312    6.636739e-23     0.078485707     0.015220562   0.00011608547       5.8215145
    0.035672168     0.094442189     0.011264887  -1.5657702e-20     -0.37329311    -0.094441734    -4.13794e-20   3.1757885e-19   7.9675124e-20   5.6318525e-39       5.4838824     0.011445315  -9.3739432e-23      0.07848551     0.015220965   0.00011611404       5.8194688
    0.037889105     0.093984717       0.0114348  -1.3555786e-20     -0.37430239     -0.09398602  -8.5700791e-21  -5.5923772e-20  -1.2500584e-20   8.6774961e-38       5.4830516       0.0112363  -8.7148308e-23     0.078484951     0.015220891   0.00011614923       5.8177393
    0.040242556     0.093489195     0.011596183  -1.8432002e-22     -0.37305796    -0.093491748   6.1748945e-21  -4.2673663e-20  -8.8275127e-21    8.772226e-38       5.4821702     0.011015536  -1.3537088e-22     0.078484095     0.015220478    0.0001161955       5.8162157
    0.042740925     0.092954999     0.011746525   1.4675311e-20     -0.36955694    -0.092958431   4.9347845e-20  -5.2525092e-19   -1.291852e-19   1.0605283e-37       5.4812406     0.010782465  -4.1363689e-23     0.078482991      0.01521982   0.00011625574       5.8148321
    0.045393137     0.092381209      0.01188293   1.2124421e-20     -0.36382782    -0.092385482   2.0855239e-20  -5.6207924e-19  -1.4085513e-19   6.9147834e-38       5.4802664     0.010536513   1.2819735e-22     0.078481678     0.015218976   0.00011633146       5.8135479
    0.048208665     0.091766961     0.012002118  -9.7958067e-21     -0.35593312    -0.091772062  -4.0271499e-20    1.187309e-19   3.0465787e-20    7.648419e-38       5.4792517      0.01027709   4.2874795e-23     0.078480188     0.015217984   0.00011642317       5.8123369
    0.051197566      0.09111184     0.012100386  -1.0607543e-20     -0.34597806    -0.091117413  -3.7209394e-20   1.9123003e-19   5.0687587e-20   3.2420492e-38       5.4782016     0.010003592  -1.1808026e-22     0.078478549     0.015216874   0.00011653056       5.8111813
    0.054370516     0.090415931     0.012173583   8.4839145e-21     -0.33411297    -0.090422127   7.9711875e-21    1.170615e-19   3.5181099e-20  -2.1253633e-38       5.4771219    0.0097154024  -1.7489873e-22     0.078476787     0.015215668   0.00011665267       5.8100694
    0.057738847     0.089679821     0.012217154   6.3228936e-21     -0.32052508    -0.089686458    2.838907e-20   3.3500007e-19   9.2698269e-20  -5.3789356e-38        5.476019    0.0094118799  -4.3687352e-23     0.078474926     0.015214386   0.00011678797       5.8089933
    0.061314592     0.088904602      0.01222598  -4.7702996e-21     -0.30543701    -0.088911784  -1.5654765e-21   2.1698735e-19   5.8536296e-20  -9.0354784e-38          5.4749    0.0090923788   1.9310998e-23     0.078472988     0.015213047   0.00011693448       5.8079481
     0.06511052     0.088091978     0.012194513   8.8777675e-22     -0.28909287    -0.088099136  -2.3847074e-20   2.0113414e-21   3.0326903e-21  -4.4704898e-38       5.4737723     0.008756218  -7.3394006e-23     0.078470994     0.015211669   0.00011708987       5.8069314
    0.069140193     0.087241889     0.012116567   4.0792385e-21     -0.27173311    -0.087250301   -8.614066e-21  -7.3674286e-21   1.1215083e-21   2.3994958e-38       5.4726435    0.0084027206   -1.704856e-22     0.078468965     0.015210267   0.00011725176       5.8059425
    0.073418001      0.08635648     0.011985407   8.8463934e-21      -0.2536169    -0.086364529   2.2627219e-20   4.7523913e-20   1.7726666e-20   5.1225343e-38       5.4715216    0.0080311595  -1.2492277e-22      0.07846692     0.015208858   0.00011741748       5.8049819
    0.077959226     0.085444506     0.011794883   1.3939885e-20     -0.23501775    -0.085454278   2.2742414e-20   1.0644026e-19    3.542759e-20    8.647749e-39       5.4704144    0.0076408484   4.2857456e-23     0.078464878     0.015207456   0.00011758407       5.8040514
    0.082780087     0.084512115     0.011537915   1.1968172e-20     -0.21616767    -0.084520379    -5.30566e-21  -9.9245999e-20  -4.3846116e-20   7.0271499e-39       5.4693298    0.0072308977    6.938025e-23     0.078462858     0.015206076   0.00011774896       5.8031532
    0.087897803     0.083563638     0.011206499  -4.5112234e-21     -0.19725859    -0.083573173   4.3914575e-21  -2.5890327e-19  -1.0281271e-19   1.5102762e-38       5.4682752    0.0068006166  -2.4678817e-23     0.078460876     0.015204728    0.0001179098       5.8022903
    0.093330656     0.082606566     0.010793843  -1.2836037e-20     -0.17846198     -0.08261651   2.5554888e-20   9.2563915e-20   4.3991787e-20   2.2982387e-39       5.4672585    0.0063489073   1.4126715e-22     0.078458949     0.015203426   0.00011806447        5.801466
