#        face_x          face_y          face_z      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z               k             nut           omega
    0.023117984               0            0.05       -1.288714  -0.00026783088               0       8205.5932       1.4089647               0               0               0               0               0               0               0   8.1181643e-16   2.4736501e-11        11601891
    0.023419063               0            0.05      -1.2576222   -0.0002594263               0       8167.9201       1.3749529               0               0               0               0               0               0               0   8.1493391e-16   2.4565173e-11        11601891
    0.023723283               0            0.05      -1.2272018  -0.00025155117               0       8130.7735       1.3417374               0               0               0               0               0               0               0   8.1823159e-16   2.4396636e-11        11601891
    0.024030675               0            0.05       -1.197405  -0.00024456887               0       8094.1491       1.3091184               0               0               0               0               0               0               0   8.2171137e-16   2.4230854e-11        11601891
    0.024341273               0            0.05      -1.1681775  -0.00023746853               0       8058.0432       1.2771868               0               0               0               0               0               0               0   8.2537652e-16   2.4067795e-11        11601891
     0.02465511               0            0.05      -1.1394561  -0.00023098884               0       8022.4536       1.2457787               0               0               0               0               0               0               0   8.2922842e-16   2.3907437e-11        11601891
     0.02497222               0            0.05       -1.111278  -0.00022385412               0       7987.3808       1.2149766               0               0               0               0               0               0               0   8.3327438e-16   2.3749764e-11        11601891
    0.025292637               0            0.05      -1.0836799  -0.00021673738               0       7952.8192       1.1848069               0               0               0               0               0               0               0   8.3751057e-16   2.3594739e-11        11601891
    0.025616396               0            0.05      -1.0566986  -0.00020952605               0       7918.7668       1.1553106               0               0               0               0               0               0               0   8.4194804e-16   2.3442337e-11        11601891
    0.025943531               0            0.05      -1.0302917  -0.00020279856               0       7885.2158       1.1264578               0               0               0               0               0               0               0   8.4657792e-16   2.3292507e-11        11601891
    0.026274078               0            0.05      -1.0044956  -0.00019606198               0       7852.1655       1.0982475               0               0               0               0               0               0               0   8.5141825e-16   2.3145232e-11        11601891
    0.026608073               0            0.05     -0.97922916  -0.00018977119               0        7819.605       1.0706554               0               0               0               0               0               0               0   8.5645048e-16   2.3000449e-11        11601891
     0.02694555               0            0.05     -0.95461419  -0.00018275454               0       7787.5384       1.0437057               0               0               0               0               0               0               0    8.617098e-16   2.2858165e-11        11601891
    0.027286547               0            0.05     -0.93053816   -0.0001798914               0       7755.9463       1.0174559               0               0               0               0               0               0               0    8.671417e-16   2.2718275e-11        11601891
      0.0276311               0            0.05     -0.90635595  -0.00018032798               0       7724.8394       0.9910076               0               0               0               0               0               0               0   8.7285956e-16   2.2580817e-11        11601891
    0.027979247               0            0.05     -0.88255467  -0.00017157839               0       7694.2361      0.96492811               0               0               0               0               0               0               0   8.7871973e-16   2.2445881e-11        11601891
    0.028331025               0            0.05     -0.85995746  -0.00015989895               0       7664.1158       0.9402618               0               0               0               0               0               0               0   8.8464058e-16   2.2313355e-11        11601891
    0.028686471               0            0.05     -0.83830022  -0.00015274876               0       7634.4471      0.91658952               0               0               0               0               0               0               0   8.9062061e-16   2.2183077e-11        11601891
    0.029045624               0            0.05     -0.81714252  -0.00014784978               0       7605.2248      0.89346782               0               0               0               0               0               0               0   8.9668877e-16   2.2055013e-11        11601891
    0.029408522               0            0.05     -0.79638476  -0.00014372688               0       7576.4446      0.87077619               0               0               0               0               0               0               0    9.028771e-16   2.1929129e-11        11601891
    0.029775206               0            0.05     -0.77597234  -0.00013987424               0       7548.1076      0.84846223               0               0               0               0               0               0               0   9.0921069e-16    2.180542e-11        11601891
    0.030145713               0            0.05     -0.75591669  -0.00013606768               0       7520.2126      0.82653792               0               0               0               0               0               0               0   9.1570967e-16   2.1683869e-11        11601891
